,number,date
0,0,01-06-2001
1,0,02-06-2001
2,0,03-06-2001
3,0,04-06-2001
4,0,05-06-2001
5,0,06-06-2001
6,1,07-06-2001
7,0,08-06-2001
8,1,09-06-2001
9,0,10-06-2001
10,0,11-06-2001
11,1,12-06-2001
12,1,13-06-2001
13,1,14-06-2001
14,1,15-06-2001
15,0,16-06-2001
16,1,17-06-2001
17,1,18-06-2001
18,0,19-06-2001
19,1,20-06-2001
20,1,21-06-2001
21,1,22-06-2001
22,1,23-06-2001
23,1,24-06-2001
24,1,25-06-2001
25,1,26-06-2001
26,1,27-06-2001
27,1,28-06-2001
28,0,29-06-2001
29,1,30-06-2001
30,1,01-07-2001
31,1,02-07-2001
32,1,03-07-2001
33,1,04-07-2001
34,1,05-07-2001
35,1,06-07-2001
36,0,07-07-2001
37,1,08-07-2001
38,1,09-07-2001
39,1,10-07-2001
40,0,11-07-2001
41,1,12-07-2001
42,1,13-07-2001
43,1,14-07-2001
44,2,15-07-2001
45,0,16-07-2001
46,1,17-07-2001
47,1,18-07-2001
48,1,19-07-2001
49,1,20-07-2001
50,0,21-07-2001
51,1,22-07-2001
52,1,23-07-2001
53,1,24-07-2001
54,1,25-07-2001
55,1,26-07-2001
56,1,27-07-2001
57,1,28-07-2001
58,1,29-07-2001
59,1,30-07-2001
60,1,31-07-2001
61,1,01-08-2001
62,1,02-08-2001
63,1,03-08-2001
64,0,04-08-2001
65,1,05-08-2001
66,1,06-08-2001
67,1,07-08-2001
68,1,08-08-2001
69,1,09-08-2001
70,1,10-08-2001
71,1,11-08-2001
72,1,12-08-2001
73,1,13-08-2001
74,1,14-08-2001
75,1,15-08-2001
76,1,16-08-2001
77,0,17-08-2001
78,1,18-08-2001
79,1,19-08-2001
80,2,20-08-2001
81,1,21-08-2001
82,1,22-08-2001
83,1,23-08-2001
84,1,24-08-2001
85,1,25-08-2001
86,1,26-08-2001
87,1,27-08-2001
88,0,28-08-2001
89,1,29-08-2001
90,1,30-08-2001
91,1,31-08-2001
92,1,01-09-2001
93,1,02-09-2001
94,1,03-09-2001
95,1,04-09-2001
96,1,05-09-2001
97,2,06-09-2001
98,0,07-09-2001
99,2,08-09-2001
100,0,09-09-2001
101,1,10-09-2001
102,1,11-09-2001
103,1,12-09-2001
104,1,13-09-2001
105,1,14-09-2001
106,1,15-09-2001
107,1,16-09-2001
