,number,date
0,0,01-01-2000
1,1,02-01-2000
2,1,03-01-2000
3,1,04-01-2000
4,0,05-01-2000
5,1,06-01-2000
6,1,07-01-2000
7,1,08-01-2000
8,0,09-01-2000
9,1,10-01-2000
10,2,11-01-2000
11,0,12-01-2000
12,1,13-01-2000
13,1,14-01-2000
14,1,15-01-2000
15,0,16-01-2000
16,1,17-01-2000
17,1,18-01-2000
18,1,19-01-2000
19,1,20-01-2000
20,1,21-01-2000
21,1,22-01-2000
22,0,23-01-2000
23,1,24-01-2000
24,1,25-01-2000
25,0,26-01-2000
26,1,27-01-2000
27,1,28-01-2000
28,1,29-01-2000
29,0,30-01-2000
30,1,31-01-2000
31,1,01-02-2000
32,1,02-02-2000
33,0,03-02-2000
34,1,04-02-2000
35,1,05-02-2000
36,1,06-02-2000
37,1,07-02-2000
38,1,08-02-2000
39,1,09-02-2000
40,1,10-02-2000
41,1,11-02-2000
42,0,12-02-2000
43,1,13-02-2000
44,1,14-02-2000
45,1,15-02-2000
46,1,16-02-2000
47,1,17-02-2000
48,0,18-02-2000
49,0,19-02-2000
50,1,20-02-2000
51,1,21-02-2000
52,1,22-02-2000
53,1,23-02-2000
54,1,24-02-2000
55,1,25-02-2000
56,1,26-02-2000
57,1,27-02-2000
58,2,28-02-2000
59,1,29-02-2000
60,1,01-03-2000
61,1,02-03-2000
62,1,03-03-2000
63,1,04-03-2000
64,1,05-03-2000
65,1,06-03-2000
66,1,07-03-2000
67,1,08-03-2000
68,1,09-03-2000
69,1,10-03-2000
70,1,11-03-2000
71,1,12-03-2000
72,1,13-03-2000
73,1,14-03-2000
74,2,15-03-2000
75,1,16-03-2000
76,1,17-03-2000
77,1,18-03-2000
78,2,19-03-2000
79,1,20-03-2000
80,1,21-03-2000
81,1,22-03-2000
82,1,23-03-2000
83,2,24-03-2000
84,1,25-03-2000
85,1,26-03-2000
86,1,27-03-2000
87,0,28-03-2000
88,1,29-03-2000
89,2,30-03-2000
90,1,31-03-2000
91,1,01-04-2000
92,1,02-04-2000
93,1,03-04-2000
94,1,04-04-2000
95,1,05-04-2000
96,1,06-04-2000
97,0,07-04-2000
98,1,07-04-2000
99,0,07-04-2000
100,0,07-04-2000
